,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
87,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8459659309045129,0.2
104,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_0,0.9444316126289137,0.6
121,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_1,0.911222362791738,0.4
138,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_2,0.9734021190750246,0.86
155,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_3,0.9566579737372247,0.88
172,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_4,0.8690318699189022,0.42
189,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_5,0.8459659309045129,0.2
7,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9992078431372549,1.0
24,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9519660992848418,0.58
41,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9969342047930283,0.98
58,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,1.0,1.0
75,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9956925030375438,1.0
92,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9743238817750395,0.72
109,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_0,0.9992078431372549,1.0
126,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_1,0.9519660992848418,0.58
143,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_2,0.9969342047930283,0.98
160,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_3,1.0,1.0
177,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_4,0.9956925030375438,1.0
194,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_5,0.9743238817750395,0.72
12,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9586579203940686,0.72
29,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9332482346662674,0.48
46,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.8903087547188124,0.46
63,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9793593387002456,0.94
80,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9170315453988267,0.94
97,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8523228225882098,0.18
114,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_0,0.9586579203940686,0.72
131,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_1,0.9332482346662674,0.48
148,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_2,0.8903087547188124,0.46
165,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_3,0.9793593387002456,0.94
182,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_4,0.9170315453988267,0.94
199,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_5,0.8523228225882098,0.18
3,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.8863031207926443,0.42
20,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9860929505360816,0.86
37,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9688315486616244,0.78
54,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9713787617063641,0.98
71,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.7793997817422221,0.1
88,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.5960111763959026,0.0
105,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_0,0.8863031207926443,0.42
122,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_1,0.9860929505360816,0.86
139,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_2,0.9688315486616244,0.78
156,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_3,0.9713787617063641,0.98
173,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_4,0.7793997817422221,0.1
190,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_5,0.5960111763959026,0.0
8,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.725740270405271,0.0
25,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.8811536144594212,0.3
42,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9316395456513062,0.56
59,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.916430797432008,0.88
76,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.4768196681081601,0.0
93,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.4385777644148661,0.0
110,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_0,0.725740270405271,0.0
127,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_1,0.8811536144594212,0.3
144,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_2,0.9316395456513062,0.56
161,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_3,0.916430797432008,0.88
178,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_4,0.4768196681081601,0.0
195,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_5,0.4385777644148661,0.0
13,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.7482679627775493,0.04
30,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.8858686967757875,0.32
47,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9376841319777729,0.6
64,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9176788500153578,0.78
81,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.545229530566289,0.0
98,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.4486719731335289,0.0
115,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_0,0.7482679627775493,0.04
132,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_1,0.8858686967757875,0.32
149,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_2,0.9376841319777729,0.6
166,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_3,0.9176788500153578,0.78
183,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_4,0.545229530566289,0.0
200,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_post_impressionism,clean,max,lpips_vgg_5,0.4486719731335289,0.0
4,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.8843750773631643,0.3
21,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.8033097080457906,0.1
38,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.8819181554090869,0.42
55,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9292527191961265,0.9
72,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.850534156010063,0.42
89,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.7286043271539192,0.0
106,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_0,0.8843750773631643,0.3
123,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_1,0.8033097080457906,0.1
140,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_2,0.8819181554090869,0.42
157,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_3,0.9292527191961265,0.9
174,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_4,0.850534156010063,0.42
191,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_renaissance,clean,max,lpips_vgg_5,0.7286043271539192,0.0
9,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.5005431544433754,0.0
26,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.6075634153359948,0.0
43,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.4413208169743626,0.02
60,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.4733771548361979,0.02
77,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.49491625802616723,0.0
94,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.4912011717318286,0.0
111,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_0,0.5005431544433754,0.0
128,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_1,0.6075634153359948,0.0
145,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_2,0.4413208169743626,0.02
162,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_3,0.4733771548361979,0.02
179,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_4,0.49491625802616723,0.0
196,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_romanticism,clean,max,lpips_vgg_5,0.4912011717318286,0.0
14,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.8533916966961743,0.26
31,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9568592467224095,0.66
48,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.595025897321085,0.08
65,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.7316186021261266,0.18
82,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.7984532218350197,0.18
99,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8449287419164018,0.14
116,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_0,0.8533916966961743,0.26
133,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_1,0.9568592467224095,0.66
150,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_2,0.595025897321085,0.08
167,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_3,0.7316186021261266,0.18
184,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_4,0.7984532218350197,0.18
201,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_surrealism,clean,max,lpips_vgg_5,0.8449287419164018,0.14
